object_1,relations,object_2,image_Name,,Color
car_0.76,is in the bottom of,truck_0.69,images (1).jpg,,
truck_0.69,is in the top of,car_0.76,images (1).jpg,,
car_0.76,is in the bottom of,car_0.4,images (1).jpg,,
car_0.4,is in the top of,car_0.76,images (1).jpg,,
truck_0.69,is in the top of,car_0.4,images (1).jpg,,
car_0.4,is in the bottom of,truck_0.69,images (1).jpg,,
person_0.99,is in the bottom of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,person_0.9,images.jpg,,
person_0.9,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,person_0.43,images.jpg,,
person_0.43,is in the top of,person_0.99,images.jpg,,
person_0.99,is in the bottom of,person_0.3,images.jpg,,
person_0.3,is in the top of,person_0.99,images.jpg,,
car_0.98,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.9,images.jpg,,
person_0.9,is in the bottom of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.43,images.jpg,,
person_0.43,is in the bottom of,car_0.98,images.jpg,,
car_0.98,is in the top of,person_0.3,images.jpg,,
person_0.3,is in the bottom of,car_0.98,images.jpg,,
elephant_0.92,is in the top of,person_0.9,images.jpg,,
person_0.9,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,person_0.43,images.jpg,,
person_0.43,is in the bottom of,elephant_0.92,images.jpg,,
elephant_0.92,is in the top of,person_0.3,images.jpg,,
person_0.3,is in the bottom of,elephant_0.92,images.jpg,,
person_0.9,is in the bottom of,person_0.43,images.jpg,,
person_0.43,is in the top of,person_0.9,images.jpg,,
person_0.9,is in the bottom of,person_0.3,images.jpg,,
person_0.3,is in the top of,person_0.9,images.jpg,,
person_0.43,is in the bottom of,person_0.3,images.jpg,,
person_0.3,is in the top of,person_0.43,images.jpg,,
,,,,,
