object_1,relations,object_2,image_Name
cow,doesn't overlap,cow,download (15).jpg
cow,overlaps,cow,download (15).jpg
cow,doesn't overlap,cow,download (15).jpg
cow,overlaps,cow,download (15).jpg
cow,doesn't overlap,cow,download (15).jpg
cow,overlaps,cow,download (15).jpg
cow,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,cow,download (15).jpg
cow,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
elephant,doesn't overlap,cow,download (15).jpg
cow,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,cow,download (15).jpg
cow,overlaps,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,elephant,download (15).jpg
cow,doesn't overlap,cow,download (15).jpg
cow,overlaps,cow,download (15).jpg
cow,doesn't overlap,cow,download (15).jpg
cow,overlaps,cow,download (15).jpg
cow,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,doesn't overlap,cow,download (15).jpg
cow,overlaps,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
cow,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,cow,download (15).jpg
elephant,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,elephant,download (15).jpg
elephant,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,elephant,download (15).jpg
elephant,overlaps,elephant,download (15).jpg
elephant,doesn't overlap,elephant,download (15).jpg
elephant,overlaps,elephant,download (16).jpg
elephant,doesn't overlap,elephant,download (16).jpg
elephant,overlaps,car,download (17).jpg
car,doesn't overlap,elephant,download (17).jpg
